origin;destination
17194;32020
21876;29390
38687;35019
3399;32221
36742;12235
18801;11909
36367;30427
15654;24417
29745;4235
24165;12037
16098;29309
44307;17385
23255;21523
40099;29866
12861;15647
42196;37277
29469;34158
33720;11621
14651;29886
29877;41815
23102;11360
40896;5742
8351;32548
44514;11891
5608;11602
44602;32591
43841;32937
1554;26948
22070;11592
44237;32705
3510;13109
25833;11841
3553;28093
35402;25356
16621;22823
26508;42813
22198;11503
25623;17365
29807;32443
43434;16145
11468;13879
24067;35763
42967;25287
7091;24499
14799;4235
7053;24421
41167;11701
15970;11893
19532;24372
10737;12812
8686;12016
21911;29392
14655;11549
35195;31355
38304;23270
32573;42660
18433;29432
11671;42977
34455;31658
2109;35161
24872;23769
30959;31778
21520;42600
13179;3516
10753;26958
36796;11463
14940;31568
14829;18260
14411;35173
37334;21137
9481;11360
35046;22407
10967;6903
22926;21213
34943;438
6764;42978
18568;17643
2308;11773
26562;42388
44950;13004
5387;13484
36144;12719
5863;10168
26915;35005
18070;17455
39360;26586
2143;42592
26861;17574
30117;11121
25451;24585
36129;37536
43905;34170
30246;31999
40817;18303
39332;29466
16633;32846
38610;43351
8803;17411
5645;22814
14121;12110
1308;29455
18765;4227
29418;1791
7933;38302
16767;13149
20672;37254
14938;21108
40106;28357
35803;37279
18928;25510
29351;25367
6710;25959
2136;42653
32465;12771
27812;25948
21327;11286
23258;32192
11852;19199
37825;3012
12157;27169
24380;39362
30916;32903
16886;13621
33926;11280
15365;13014
11297;22348
11712;41882
9561;32240
8028;12126
9375;25107
36341;12863
8696;37179
9557;35061
8013;37476
14562;30012
14702;29814
35004;33811
35755;25787
20890;11088
22809;40154
14421;12453
19953;31950
602;11834
1054;35930
6000;11309
9330;22635
18257;20617
25699;25124
759;35747
8791;12962
20430;37749
28836;35355
905;29447
25754;17370
28506;29084
27198;32438
32591;35235
16676;11450
4228;4751
3671;38335
41570;37755
12294;10419
7605;18731
7876;35284
3253;22910
19335;28288
12892;41389
37921;4622
35448;9642
10408;32762
35145;2698
15560;11858
36149;35340
11868;41610
1959;27374
26828;32697
7438;26722
4297;22948
42651;32143
34509;35365
21995;32718
30956;32050
13845;33317
7586;29594
34883;12000
7964;42916
43081;21009
2490;13453
4142;11135
28008;22623
40758;42840
20174;7588
3290;13549
22528;28207
26831;28099
37012;23156
22162;18304
45250;27736
18043;27458
8774;42678
39733;32632
39567;21703
5485;24421
8601;13411
44778;13520
37998;42698
26673;29176
34821;35487
31031;32995
38489;38240
21404;7623
42776;29374
27107;11926
8161;34512
39949;33851
23225;33329
21915;19917
32270;37666
39952;11241
21258;29499
24322;35263
40245;11864
41560;25956
3245;11518
5042;10989
8813;34510
43649;37422
16788;11686
20855;33263
16850;42814
3090;11555
35793;23137
3648;28427
3540;12103
25652;35261
18471;12797
10374;26933
41624;26716
11489;2352
23434;29461
20006;24452
12499;28064
17341;12127
12691;30244
40646;27475
5010;29477
32233;31018
15003;23158
25551;30793
9815;31568
14965;11922
7926;34620
13265;13440
30002;10396
2117;31960
44553;13605
39759;11677
9870;30466
5456;11794
7164;11847
32904;36862
30990;24088
34928;29299
1334;28300
8317;35143
42536;13129
10113;12176
11451;43482
28664;12077
23232;33256
18482;7381
34959;35674
17777;12127
23341;4353
1840;42269
42337;35920
43197;20086
4916;26753
13300;29355
8322;17469
35521;26325
32088;18625
42448;38353
30550;436
20815;12083
42792;31554
12209;13759
735;27573
28247;42640
12922;4131
37122;37775
23058;32761
1040;8870
38357;4228
25509;43615
27398;19634
44921;10988
19326;24555
24789;13440
1762;7379
36809;11472
36214;32687
17136;30393
40622;29484
40760;37887
14339;29111
24746;42611
41861;24257
35480;6716
16432;13182
22062;11770
22030;42985
27065;35239
7014;30039
12751;27450
41883;11639
43419;28990
40707;26545
8011;42901
18211;33857
17291;29866
3574;42582
29040;13569
39542;11423
24317;828
34055;35027
17312;12041
16961;27414
18301;4236
35363;12806
32394;31371
26366;13005
6749;32541
39869;11012
43263;11119
42718;33855
31931;30206
43668;4005
42325;10978
16892;20128
40868;4369
22467;29128
9418;27461
29770;7931
37822;40198
14390;35915
35108;30475
8704;24405
26671;29755
24062;11262
2560;11581
24921;12447
9805;35942
42869;27052
22283;35307
29775;26749
9533;42817
18135;11998
35289;10135
22400;26938
36092;12873
38115;4472
3507;24567
2328;30782
26703;39603
36828;31740
