origin;destination
519;1012
91;354
1291;456
563;352
212;548
1334;456
35;184
666;917
126;192
647;470
503;23
1078;1201
84;800
700;329
972;826
903;467
952;860
1311;270
1077;430
1327;1093
205;1031
816;1293
111;23
651;679
1190;1083
450;879
277;862
281;592
876;544
85;607
718;823
255;68
712;954
427;1104
781;385
991;1240
909;485
888;641
1200;1122
36;383
933;972
538;928
106;829
1274;571
173;64
873;315
1140;602
758;894
554;873
224;195
638;351
408;46
5;432
344;939
826;165
998;22
623;818
47;906
155;1284
260;739
1307;613
179;375
923;689
1093;607
1017;89
456;530
443;845
400;861
1047;745
825;137
472;947
920;1268
997;528
1088;296
97;13
390;858
1056;367
505;14
515;409
442;41
1242;797
792;365
72;9
230;275
881;797
286;984
18;275
514;588
1096;894
510;158
1126;484
113;715
313;823
858;1343
75;344
1339;941
637;738
932;1264
142;790
145;776
473;579
376;28
1041;1024
222;123
851;1193
447;847
900;457
410;1117
608;951
502;86
441;206
267;1134
38;597
959;616
698;423
183;441
913;533
169;319
872;120
312;1080
446;854
436;917
685;988
130;717
1111;933
426;65
44;381
323;274
1099;129
55;799
949;251
342;464
828;100
748;17
901;439
57;430
1016;191
658;467
569;234
993;133
627;346
120;716
144;1235
734;72
153;372
457;916
860;701
1176;899
1059;415
553;1306
874;264
393;478
309;919
27;544
1237;613
186;220
557;904
318;1311
1323;278
1155;537
191;765
162;222
819;607
238;192
869;16
216;164
184;748
172;781
497;447
1160;970
1300;1318
602;905
796;569
927;712
168;228
133;37
786;451
925;286
1161;968
711;1196
462;165
412;833
20;534
398;201
50;520
63;521
273;1030
101;1321
176;530
1102;372
493;215
129;205
477;542
137;1266
23;468
677;32
1332;335
202;826
655;453
1103;927
1092;1002
17;1332
1343;523
499;427
838;1263
370;497
241;261
848;1276
857;546
269;359
548;371
896;675
82;325
1305;851
197;573
591;194
381;706
326;164
702;125
842;0
560;935
672;340
877;608
364;1274
1346;834
1063;268
325;162
484;1085
1279;617
100;893
1000;578
995;99
946;1012
815;689
366;199
980;570
1320;104
795;564
772;541
937;264
804;535
119;569
1191;187
362;255
13;460
86;1006
135;1065
389;213
692;135
49;210
339;1012
613;803
177;299
806;524
906;473
345;1033
771;752
687;889
283;672
941;677
1310;273
274;1325
480;834
256;495
907;952
1336;1046
354;200
929;1079
1270;802
1123;491
418;574
996;910
784;369
763;498
955;1286
1321;9
630;917
1081;272
42;677
348;215
1286;91
104;560
278;1141
707;542
640;925
752;64
371;199
175;819
471;458
1121;345
154;925
751;238
156;0
233;1144
724;656
728;926
1340;1027
948;448
1281;1286
1306;854
1034;141
803;484
675;997
103;557
299;548
219;607
276;1281
439;1110
69;480
421;215
270;1308
967;1109
268;798
852;401
448;1121
501;260
566;1345
537;1207
1319;31
766;1239
301;1328
773;4
165;236
767;609
783;1346
511;636
174;515
315;399
308;897
1313;459
610;933
1231;1128
1011;153
730;891
200;1240
604;117
643;963
218;1314
912;216
1035;789
1236;39
1133;779
1061;425
775;755
790;1297
467;21
1052;779
300;195
112;1105
904;117
1025;270
905;1161
800;855
413;46
