origin;destination
150069;82053
60611;60167
32471;98201
11547;150712
705;65787
4593;103519
30112;91084
100241;154137
121863;77087
108940;76951
38134;120808
68880;33094
90052;126874
61467;49823
16621;110764
93825;98353
58124;99880
87888;101669
145760;117065
133532;128636
77450;139089
154913;77422
21128;83783
13453;145700
75280;108364
115141;51660
107328;19136
18146;55335
149802;84763
50731;107487
998;75041
50980;65812
117042;82386
112145;73722
124969;50663
99078;133489
92163;21537
157242;85873
35501;89385
28176;87901
13328;65794
112246;50064
81526;126746
92678;103079
19010;74694
28674;107980
63108;93284
79006;1618
29863;67074
79880;99166
14032;89319
5691;140674
128062;77727
7453;77625
150067;92352
72366;91527
17145;84616
120665;105050
41955;107532
143275;61407
94234;74969
40725;68797
2593;78952
135234;69529
30357;51939
77579;134313
111761;89356
8386;99291
130523;69118
93586;80934
14371;134344
60491;49096
71092;114266
22745;98229
127305;128445
74644;22590
38004;91020
78390;122392
88734;71170
22892;56550
50504;110495
9523;107395
143855;83785
75938;156335
108875;62088
51697;100251
115203;132301
43929;53995
105295;99801
33125;33881
16388;60731
73937;89126
96028;24311
119862;110871
21120;67470
118869;3578
130541;44814
77270;99150
4801;103464
79200;55239
32349;90141
107567;46269
123684;103120
15847;76329
88516;124764
56421;139971
71324;136757
56490;42547
100176;131617
110285;24660
124314;112488
39158;55427
148911;126693
129529;68165
132933;146982
31819;140003
60483;93607
131462;104999
83677;147205
124243;91600
52626;112061
34611;155457
52453;64573
24440;54888
144267;110786
43568;133234
14801;136437
48897;91440
53541;99321
44067;67206
40610;127337
23580;71598
131756;70426
27544;79068
144638;53984
28740;54198
43914;111424
64354;71499
50830;69629
24462;78152
13768;87422
23879;68262
120664;102372
87907;31513
154547;98360
154983;98417
36909;55216
273;132685
49336;155618
32561;75340
116119;113597
145945;40739
66356;86045
68365;47729
36391;24584
9285;141769
64477;102355
23291;49712
140904;155693
73006;82262
128045;128221
12449;99479
89015;111820
24961;126701
123319;111970
288;109899
54129;132256
26852;98261
15220;67202
93896;152725
79907;75483
47986;102324
104220;67260
154623;126674
86268;63372
57301;68216
22118;73228
92635;148812
117075;77851
34529;139215
79061;99838
101376;68808
87299;6055
125568;67180
69484;107660
57417;136735
80291;48061
109244;83294
116530;149250
150262;33963
140492;121928
17562;103618
72380;96283
114883;94891
157506;50018
61208;108802
140438;139312
5262;103484
9276;132797
11933;107448
143392;80824
102089;89829
94980;99225
143618;38846
94730;132761
130085;77345
124530;68278
26220;72024
23303;80993
149964;110650
147716;11763
135398;137167
105046;63282
129304;75499
21140;143140
42974;67085
39523;105013
97064;49464
68016;111392
81420;104992
111280;8194
142776;91747
13838;77999
53947;141702
45030;67192
33921;153121
126280;88138
105840;104242
57395;44270
66934;88525
66221;102333
37309;85669
42967;131957
42559;90490
66731;65406
74636;82214
69422;88507
123432;51962
53473;51809
52139;139165
38695;47818
135434;90505
155072;67092
95412;21270
25791;89986
131148;79071
82035;72971
11654;98295
42114;83293
70220;108315
117549;56392
27835;143145
101118;151122
60260;112922
128665;93937
15038;88435
146580;136610
22903;103492
84914;151880
125366;71077
27253;99129
57377;73909
95727;44749
129262;69168
132118;152122
107355;110986
102874;128271
77825;33534
95471;56486
75638;110606
40604;47933
21492;74772
76398;105979
45810;87877
133815;98623
138174;96031
108237;124722
26996;85684
86574;128178
39967;77516
119533;103441
141183;110973
116871;103097
56502;8531
6835;79069
94583;65091
22962;84623
109054;119193
131424;53961
91636;56375
110881;107918
98228;107047
114503;131284
75397;15706
13363;79083
138057;102871
73885;63054
87262;73824
92878;107538
125601;90204
12010;132335
108254;78960
138407;68248
73609;89065
14810;137591
80956;76149
106142;80398
104511;16219
72166;90191
116276;67008
66330;49829
44798;36592
20333;156082
149152;68196
134643;153073
133544;126946
53449;30711
111893;154162
8468;74483
86616;11680
63905;87582
104634;130556
98304;55433
129205;130259
140000;19104
5812;130364
11078;128638
21406;25056
129150;83935
3387;85923
75667;18917
111273;54224
86274;54805
120615;98236
58418;95584
154411;139903
57364;106440
126686;63843
102842;135766
89644;98617
62121;57118
43413;76078
96628;88591
129439;75179
155087;132328
22239;144828
129010;132192
7356;51654
5335;55363
110143;82091
52086;111456
128431;62386
125313;132074
9889;126942
120078;115401
144828;68629
92177;91104
107527;62332
86350;58348
45904;93893
16290;32541
3987;107497
62794;90908
34307;152880
118178;67290
2456;55071
61690;76065
43792;152868
152880;142827
54399;125702
79082;15467
24236;87212
133044;140917
1286;130710
27091;132717
115534;67138
20314;130435
33589;141659
5103;108021
106879;11063
78457;32679
88576;9102
138005;67244
61452;130367
6905;87835
94992;87472
76977;74930
94820;152046
91938;77733
6537;75548
94108;76985
101390;138538
111856;50636
141331;143141
25091;87409
98556;67453
80287;111672
85842;51662
